condition,stored_csv,unfiltered_grand_mean,qc_filtered_grand_mean,pipeline_hardcoded,stored_minus_unfiltered,stored_minus_qc,pipeline_minus_qc
0,0.1284133709981167,0.12841337099811675,0.10934454191033138,0.0,-5.551115123125783e-17,0.019068829087785316,-0.10934454191033138
25,0.4519387044346413,0.4519387044346413,0.44184090362893536,0.44184090362893536,0.0,0.010097800805705937,0.0
50,0.7058963953210791,0.7058963953210791,0.7010130961205832,0.7010130961205832,0.0,0.004883299200495905,0.0
75,0.8686440677966102,0.8686440677966102,0.8690302144249513,0.8690302144249513,0.0,-0.000386146628341133,0.0
