model,alpha,Ef,XP,PXP,BOR,F_VB,n_subjects
2level_empiric,201.71442201767553,0.8657271331230709,1.0,1.0,1.0073219464820742e-103,-33260.32857755521,229
3level_empiric,8.734514462883377,0.037487186535980155,0.0,2.5183048662051855e-104,1.0073219464820742e-103,-33260.32857755521,229
2level_nominal,17.22276539472793,0.07391744804604261,0.0,2.5183048662051855e-104,1.0073219464820742e-103,-33260.32857755521,229
3level_nominal,5.328298124713168,0.0228682322949063,0.0,2.5183048662051855e-104,1.0073219464820742e-103,-33260.32857755521,229
